datetime,order_id,customer_id,product_category,payment_method,value [USD],prod_cnt,time_on_site [Minutes],clicks_in_site
2018-11-20,14783,37077,505,credit,49.53,3,12.0,8
2018-11-20,14784,59173,509,paypal,50.61,5,25.9,8
2018-11-20,14785,41066,507,credit,85.99,1,34.9,11
2018-11-20,14786,50741,506,credit,34.6,4,16.5,9
2018-11-20,14787,53639,515,paypal,266.27,5,43.1,30
2018-11-20,14788,39783,501,credit,193.78,5,14.0,10
2018-11-20,14789,26767,514,paypal,61.22,3,11.6,8
2018-11-20,14790,20719,505,paypal,11.18,5,3.1,7
2018-11-20,14791,46947,515,paypal,144.01,3,38.3,6
2018-11-20,14792,31839,512,credit,447.92,5,41.8,19
2018-11-20,14793,22249,509,paypal,144.87,1,7.8,13
2018-11-20,14794,15109,512,credit,102.76,4,15.6,9
2018-11-20,14795,18622,509,paypal,91.58,4,8.0,6
2018-11-20,14796,56296,503,credit,28.43,4,12.2,8
2018-11-20,14797,34138,506,paypal,56.04,1,17.0,10
2018-11-20,14798,51112,514,paypal,3.69,2,4.3,6
2018-11-20,14799,57057,503,paypal,8.86,4,38.1,0
2018-11-20,14800,50942,514,credit,59.55,2,38.6,10
2018-11-20,14801,42384,514,paypal,132.85,2,34.5,8
2018-11-20,14802,26127,510,paypal,41.69,1,44.2,8
2018-11-20,14803,14449,514,paypal,234.7,4,24.8,0
2018-11-20,14804,16823,508,credit,87.44,4,13.5,11
2018-11-20,14805,15976,508,paypal,152.93,4,9.0,16
2018-11-20,14806,51542,514,paypal,30.0,4,11.8,7
2018-11-20,14807,42676,511,paypal,11.8,4,6.6,6
2018-11-20,14808,56593,509,paypal,48.93,2,20.6,8
2018-11-20,14809,37689,508,paypal,169.23,4,56.7,9
2018-11-20,14810,26058,504,credit,56.2,3,10.8,0
2018-11-20,14811,38941,514,paypal,370.11,5,49.7,7
2018-11-20,14812,19919,512,credit,201.99,2,19.5,22
2018-11-20,14813,56625,505,credit,84.1,2,16.3,14
2018-11-20,14814,33501,514,paypal,198.55,5,34.2,10
2018-11-20,14815,40865,515,credit,105.02,4,19.8,16
2018-11-20,14816,38256,505,paypal,80.83,2,29.0,8
2018-11-20,14817,14567,509,credit,108.04,3,20.9,12
2018-11-20,14818,38178,507,credit,17.86,1,8.6,7
2018-11-20,14819,24153,513,credit,305.29,4,27.8,20
